geometry_id,system,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,old_hstate_energy_eV,component_hstate_energy_eV,raw_component_minus_old_eV,old_force_max_eV_per_angstrom,component_force_max_eV_per_angstrom,component_count,largest_component_edges,qm_relative_eV,old_hstate_relative_eV,component_hstate_relative_eV,old_hstate_residual_eV,component_hstate_residual_eV,relative_component_minus_old_eV
h3_reactant_reference_0000,h3,reactant_reference,reactant_reference,5.0,0.74144,-45.52929561847012,-4.512627573197906,-4.512627573197906,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
h3_product_reference_0000,h3,product_reference,product_reference,0.74144,5.0,-45.52929561847183,-4.512627573197906,-4.512627573197906,0.0,3.552713678800501e-15,3.552713678800501e-15,1,1,-1.7053025658242404e-12,0.0,0.0,-1.7053025658242404e-12,-1.7053025658242404e-12,0.0
h3_dense_transfer_0000,h3,dense_transfer_scan,transfer_microscope,0.84,0.8428571429,-44.97550801683555,-3.4696721092062868,-3.4696721092062868,0.0,4.731319067411628,4.731319067411628,1,2,0.5537876016345749,1.0429554639916194,1.0429554639916194,-0.48916786235704457,-0.48916786235704457,0.0
h3_dense_transfer_0001,h3,dense_transfer_scan,transfer_microscope,0.86,0.8428571429,-45.01569604084599,-3.5617235717026947,-3.5617235717026947,0.0,4.524031735560067,4.524031735560067,1,2,0.5135995776241344,0.9509040014952115,0.9509040014952115,-0.43730442387107704,-0.43730442387107704,0.0
h3_dense_transfer_0002,h3,dense_transfer_scan,transfer_microscope,0.88,0.8428571429,-45.04953306501061,-3.650627261239462,-3.650627261239462,0.0,4.365819887554391,4.365819887554391,1,2,0.4797625534595156,0.8620003119584441,0.8620003119584441,-0.3822377584989285,-0.3822377584989285,0.0
h3_dense_transfer_0003,h3,dense_transfer_scan,transfer_microscope,0.9,0.8428571429,-45.0779112123627,-3.7363257761525017,-3.7363257761525017,0.0,4.203088896384029,4.203088896384029,1,2,0.45138440610742236,0.7763017970454045,0.7763017970454045,-0.3249173909379821,-0.3249173909379821,0.0
h3_dense_transfer_0004,h3,dense_transfer_scan,transfer_microscope,0.92,0.8428571429,-45.10161893402429,-3.818709621061279,-3.818709621061279,0.0,4.0342298910363965,4.0342298910363965,1,2,0.42767668444583506,0.6939179521366272,0.6939179521366272,-0.26624126769079215,-0.26624126769079215,0.0
h3_dense_transfer_0005,h3,dense_transfer_scan,transfer_microscope,0.94,0.8428571429,-45.12135171363247,-3.8905226998971814,-3.8905226998971814,0.0,2.818885535358972,2.818885535358972,1,2,0.4079439048376514,0.6221048733007248,0.6221048733007248,-0.21416096846307342,-0.21416096846307342,0.0
h3_dense_transfer_0006,h3,dense_transfer_scan,transfer_microscope,0.96,0.8428571429,-45.13772135153172,-3.933545059751787,-3.933545059751787,0.0,1.7949005435162446,1.7949005435162446,1,2,0.3915742669384059,0.579082513446119,0.579082513446119,-0.18750824650771314,-0.18750824650771314,0.0
h3_dense_transfer_0007,h3,dense_transfer_scan,transfer_microscope,0.98,0.8428571429,-45.1512642838287,-3.9591230851618455,-3.9591230851618455,0.0,1.0623289112846344,1.0623289112846344,1,2,0.37803133464142036,0.5535044880360607,0.5535044880360607,-0.1754731533946403,-0.1754731533946403,0.0
